epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5538,1.49328,2.91525,0.00468,0.26699,0.34979,0.27634,0.16979,1.33302,2.05017,0.00754,0.000332094,0.000332094,0.0671227
2,108.265,1.33721,1.95514,0.00419,0.64282,0.40636,0.42931,0.28138,1.23193,1.46625,0.00662,0.000665355,0.000665355,0.0341226
3,168.006,1.3093,1.60928,0.00414,0.67659,0.45359,0.48048,0.30388,1.28956,1.27733,0.00688,0.000998327,0.000998327,0.00112224
4,226.82,1.27376,1.46669,0.00393,0.53132,0.53652,0.5149,0.33932,1.24188,1.1405,0.00671,0.000999023,0.000999023,0.000999023
5,287.132,1.27995,1.34577,0.00392,0.71144,0.50157,0.56597,0.3618,1.24741,1.10664,0.00655,0.000998264,0.000998264,0.000998264
6,348.185,1.26074,1.2616,0.00391,0.48258,0.58251,0.56453,0.35637,1.28816,1.015,0.00692,0.000997288,0.000997288,0.000997288
7,405.653,1.27914,1.2188,0.00383,0.53632,0.60585,0.58286,0.38209,1.23808,1.00922,0.00667,0.000996097,0.000996097,0.000996097
8,465.358,1.24963,1.16602,0.00388,0.51899,0.6424,0.6053,0.39503,1.22679,1.03969,0.00661,0.00099469,0.00099469,0.00099469
9,525.252,1.22024,1.11189,0.00372,0.58202,0.63383,0.61478,0.41338,1.19672,0.90088,0.00631,0.000993068,0.000993068,0.000993068
10,584.795,1.2286,1.0643,0.00384,0.57844,0.66704,0.64583,0.42061,1.21758,0.98399,0.00667,0.000991232,0.000991232,0.000991232
11,645.496,1.20716,1.06508,0.00369,0.5379,0.6749,0.64107,0.40895,1.25659,0.87291,0.00672,0.000989183,0.000989183,0.000989183
12,707.339,1.21574,1.00898,0.00373,0.65815,0.59327,0.66434,0.42834,1.23715,0.92731,0.00669,0.000986922,0.000986922,0.000986922
13,764.536,1.19224,0.98846,0.00368,0.69586,0.6547,0.6877,0.44155,1.23244,0.87499,0.00672,0.000984449,0.000984449,0.000984449
14,822.034,1.19628,0.9612,0.00361,0.65943,0.67124,0.67338,0.43839,1.22018,0.94599,0.0064,0.000981765,0.000981765,0.000981765
15,880.934,1.19652,0.9291,0.00368,0.61389,0.7032,0.64872,0.42885,1.21999,0.89709,0.00653,0.000978873,0.000978873,0.000978873
16,943.002,1.20327,0.92066,0.00368,0.63237,0.67916,0.67241,0.44552,1.20633,0.88321,0.00639,0.000975773,0.000975773,0.000975773
17,1004.03,1.18612,0.87835,0.00356,0.65794,0.68204,0.66263,0.43827,1.24874,0.82416,0.00656,0.000972466,0.000972466,0.000972466
18,1063.24,1.17443,0.88744,0.00352,0.66592,0.66196,0.68658,0.4666,1.1946,0.83267,0.0064,0.000968955,0.000968955,0.000968955
19,1122.53,1.167,0.86255,0.00352,0.66044,0.70618,0.70664,0.45745,1.20471,0.80823,0.00644,0.000965239,0.000965239,0.000965239
20,1181.64,1.17463,0.87098,0.00358,0.66641,0.69056,0.69614,0.45486,1.22775,0.85409,0.00669,0.000961322,0.000961322,0.000961322
21,1241.75,1.17967,0.88078,0.00351,0.69487,0.68506,0.71338,0.46817,1.19578,0.84237,0.00648,0.000957205,0.000957205,0.000957205
22,1301.13,1.14636,0.83228,0.00346,0.77042,0.59058,0.68796,0.45105,1.22505,0.84986,0.00651,0.000952889,0.000952889,0.000952889
23,1359.55,1.15737,0.82324,0.0034,0.72457,0.62637,0.70029,0.4653,1.21413,0.95288,0.00643,0.000948377,0.000948377,0.000948377
24,1413.47,1.15058,0.80853,0.00354,0.6477,0.71069,0.69565,0.46377,1.22409,0.78809,0.00648,0.000943671,0.000943671,0.000943671
25,1473.15,1.15082,0.77043,0.00347,0.72168,0.66319,0.70588,0.45744,1.20554,0.78163,0.00647,0.000938772,0.000938772,0.000938772
26,1535.29,1.1482,0.76939,0.0035,0.71676,0.70782,0.71624,0.47634,1.21034,0.79959,0.00645,0.000933683,0.000933683,0.000933683
27,1596.56,1.13786,0.76307,0.00345,0.66013,0.70938,0.69897,0.46308,1.21658,0.79285,0.00651,0.000928405,0.000928405,0.000928405
28,1660.74,1.12658,0.75356,0.00343,0.72481,0.66985,0.71362,0.46635,1.21837,0.75913,0.00652,0.000922942,0.000922942,0.000922942
29,1720.21,1.14002,0.7343,0.0034,0.73749,0.66831,0.71627,0.46981,1.21545,0.7876,0.00649,0.000917296,0.000917296,0.000917296
30,1779.09,1.12097,0.71414,0.00334,0.69604,0.68019,0.70869,0.46162,1.24478,0.79598,0.00665,0.000911469,0.000911469,0.000911469
31,1839.97,1.1464,0.75211,0.00345,0.6496,0.71181,0.70306,0.47498,1.18854,0.80795,0.00632,0.000905463,0.000905463,0.000905463
32,1899.48,1.12358,0.69974,0.00342,0.71296,0.69077,0.72826,0.47897,1.24218,0.8122,0.0066,0.000899282,0.000899282,0.000899282
33,1958.6,1.13608,0.71823,0.00337,0.64641,0.73334,0.7183,0.47347,1.21045,0.78499,0.00649,0.000892928,0.000892928,0.000892928
34,2018.31,1.13649,0.72691,0.00339,0.74229,0.63216,0.71223,0.46897,1.23377,0.83672,0.00666,0.000886404,0.000886404,0.000886404
