epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.934,1.48922,3.58334,0.00463,0.09914,0.01065,0.0529,0.03086,1.38679,4.37978,0.0088,0.000164216,0.000164216,0.0673211
2,83.8524,1.32242,2.0864,0.00389,0.0816,0.53388,0.28636,0.19251,1.24989,2.42234,0.00696,0.000330846,0.000330846,0.0341544
3,114.952,1.28857,1.78247,0.00385,0.666,0.36423,0.40981,0.26443,1.22391,1.45649,0.00637,0.000497333,0.000497333,0.000987529
4,145.797,1.261,1.5964,0.00384,0.70987,0.44964,0.45864,0.30278,1.19555,1.22194,0.00643,0.000499512,0.000499512,0.000499512
5,174.012,1.24512,1.43455,0.0037,0.70838,0.47675,0.4922,0.32376,1.22964,1.16534,0.00653,0.000499132,0.000499132,0.000499132
6,202.422,1.22589,1.33696,0.00366,0.7368,0.48786,0.54224,0.34368,1.24552,1.04297,0.00653,0.000498644,0.000498644,0.000498644
7,233.2,1.23584,1.26749,0.00364,0.648,0.61435,0.62512,0.4001,1.21902,0.96818,0.0065,0.000498048,0.000498048,0.000498048
8,264.947,1.21425,1.15518,0.00362,0.61772,0.55246,0.60662,0.3982,1.19901,0.94572,0.00642,0.000497345,0.000497345,0.000497345
9,295.351,1.2042,1.10133,0.00358,0.63888,0.59319,0.61766,0.39766,1.20518,0.94361,0.00632,0.000496534,0.000496534,0.000496534
10,325.643,1.17998,1.05666,0.00347,0.62959,0.59794,0.6394,0.4175,1.16949,0.95641,0.00622,0.000495616,0.000495616,0.000495616
11,357.071,1.16258,1.04089,0.00343,0.58084,0.65932,0.65513,0.43755,1.19967,0.83232,0.00625,0.000494592,0.000494592,0.000494592
12,394.09,1.18417,0.98772,0.00351,0.62629,0.62549,0.65169,0.43291,1.17975,0.85708,0.00628,0.000493461,0.000493461,0.000493461
13,424.402,1.16141,0.96171,0.00333,0.66394,0.60455,0.64851,0.43095,1.16318,0.8303,0.0062,0.000492224,0.000492224,0.000492224
