epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.3465,1.53565,3.1595,0.0048,0.04895,0.43431,0.12793,0.07518,1.31352,3.30742,0.00758,0.000165432,0.000165432,0.067079
2,70.0435,1.39126,2.11545,0.00433,0.56878,0.37554,0.33154,0.20199,1.29893,1.56716,0.00722,0.000332063,0.000332063,0.0339123
3,106.933,1.33036,1.77378,0.00412,0.59647,0.44279,0.39722,0.25928,1.25523,1.37736,0.00683,0.000498549,0.000498549,0.000745462
4,142.437,1.30816,1.62936,0.004,0.63737,0.45923,0.47094,0.31636,1.22131,1.21117,0.00657,0.000499512,0.000499512,0.000499512
5,178.052,1.27773,1.48039,0.00389,0.70272,0.43312,0.4783,0.3148,1.22749,1.15837,0.0067,0.000499132,0.000499132,0.000499132
6,211.978,1.27319,1.38152,0.00391,0.52026,0.49846,0.52995,0.35548,1.20204,1.06707,0.00644,0.000498644,0.000498644,0.000498644
7,248.102,1.28822,1.30864,0.00373,0.47869,0.55109,0.52618,0.34466,1.22558,1.03625,0.00665,0.000498048,0.000498048,0.000498048
8,282.41,1.25163,1.22649,0.0038,0.55695,0.52232,0.5435,0.35483,1.26017,1.01034,0.007,0.000497345,0.000497345,0.000497345
9,316.806,1.2501,1.198,0.00377,0.48787,0.61087,0.55809,0.36207,1.22234,0.93981,0.00661,0.000496534,0.000496534,0.000496534
10,351.884,1.25594,1.12643,0.00384,0.50049,0.60125,0.5666,0.38349,1.19173,0.90835,0.00652,0.000495616,0.000495616,0.000495616
11,386.356,1.23898,1.12233,0.00378,0.51326,0.60487,0.58238,0.38919,1.22534,0.92311,0.00665,0.000494592,0.000494592,0.000494592
12,420.184,1.24791,1.0633,0.00386,0.49835,0.59789,0.57,0.37264,1.2142,0.91245,0.00646,0.000493461,0.000493461,0.000493461
13,455.486,1.21564,1.03925,0.00369,0.53377,0.66852,0.59131,0.38804,1.22561,0.94603,0.00664,0.000492224,0.000492224,0.000492224
14,489.737,1.23399,1.05629,0.00367,0.52482,0.62506,0.5918,0.40057,1.19358,0.89062,0.00658,0.000490883,0.000490883,0.000490883
15,514.727,1.24037,0.98992,0.00374,0.5065,0.64844,0.58256,0.38849,1.21203,0.90715,0.00658,0.000489437,0.000489437,0.000489437
16,539.725,1.22571,1.00984,0.00375,0.57787,0.64102,0.60895,0.40812,1.21923,0.87919,0.00647,0.000487886,0.000487886,0.000487886
17,564.312,1.21477,0.98067,0.00361,0.594,0.61162,0.61346,0.39924,1.19278,0.85592,0.00648,0.000486233,0.000486233,0.000486233
18,589.177,1.20807,0.98674,0.00361,0.54423,0.61183,0.60688,0.40326,1.20739,0.85069,0.00645,0.000484477,0.000484477,0.000484477
19,614.469,1.18156,0.95299,0.0035,0.54254,0.63345,0.61033,0.40578,1.18629,0.83275,0.00644,0.00048262,0.00048262,0.00048262
20,648.257,1.20405,0.92812,0.00359,0.58249,0.63036,0.6213,0.41492,1.21994,0.83978,0.00654,0.000480661,0.000480661,0.000480661
21,681.594,1.17684,0.9067,0.00342,0.58133,0.62412,0.62823,0.42288,1.19221,0.86042,0.00652,0.000478603,0.000478603,0.000478603
22,714.81,1.19002,0.8954,0.00354,0.5451,0.68389,0.6248,0.41279,1.20678,0.79444,0.00649,0.000476445,0.000476445,0.000476445
23,749.345,1.18837,0.86908,0.00349,0.57642,0.62544,0.62203,0.41739,1.19335,0.81309,0.00648,0.000474189,0.000474189,0.000474189
24,783.992,1.17695,0.85413,0.00357,0.62283,0.66559,0.67218,0.45294,1.20171,0.77911,0.00661,0.000471835,0.000471835,0.000471835
25,818.977,1.17063,0.85277,0.00349,0.62476,0.65614,0.65872,0.43767,1.21541,0.75407,0.00657,0.000469386,0.000469386,0.000469386
26,853.944,1.17465,0.85045,0.00354,0.58039,0.65836,0.64857,0.42824,1.20225,0.8084,0.00659,0.000466841,0.000466841,0.000466841
27,888.424,1.16697,0.84173,0.0035,0.61767,0.64398,0.66702,0.44288,1.20544,0.80551,0.00659,0.000464203,0.000464203,0.000464203
28,923.18,1.16966,0.84972,0.00344,0.62952,0.66012,0.66069,0.44437,1.20719,0.81093,0.00663,0.000461471,0.000461471,0.000461471
29,957.223,1.16579,0.82886,0.00339,0.59054,0.67321,0.64212,0.43186,1.22777,0.81484,0.00669,0.000458648,0.000458648,0.000458648
30,991.41,1.14908,0.80253,0.00341,0.63313,0.68431,0.6709,0.45523,1.20064,0.78631,0.00656,0.000455734,0.000455734,0.000455734
31,1026.51,1.1554,0.7896,0.00344,0.6626,0.63611,0.68056,0.4555,1.22515,0.78424,0.00659,0.000452732,0.000452732,0.000452732
32,1061.4,1.1409,0.76906,0.00337,0.73923,0.6123,0.68543,0.45816,1.20325,0.77416,0.00652,0.000449641,0.000449641,0.000449641
