epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.678,1.44948,2.11371,0.00458,0.78051,0.41281,0.48785,0.31123,1.28221,1.34458,0.00729,0.000166047,0.000166047,0.0669566
2,250.405,1.32474,1.3013,0.00415,0.76024,0.56719,0.58892,0.36857,1.23667,0.93422,0.00657,0.000332678,0.000332678,0.0337899
3,356.166,1.25056,1.08386,0.00395,0.64728,0.62984,0.66688,0.42484,1.24863,0.91369,0.00668,0.000499164,0.000499164,0.000623079
4,458.858,1.23074,1.02142,0.00381,0.54897,0.62309,0.62549,0.39988,1.22816,0.89289,0.00663,0.000499512,0.000499512,0.000499512
5,561.677,1.20529,0.92338,0.00367,0.72776,0.65601,0.72512,0.48318,1.1885,0.78796,0.00623,0.000499132,0.000499132,0.000499132
6,666.004,1.19617,0.84408,0.00373,0.70786,0.6705,0.72223,0.48353,1.21566,0.77376,0.00632,0.000498644,0.000498644,0.000498644
7,775.882,1.19579,0.84924,0.00356,0.73724,0.69569,0.74723,0.50713,1.15333,0.77796,0.00607,0.000498048,0.000498048,0.000498048
8,887.398,1.16137,0.79032,0.00359,0.75371,0.68807,0.76561,0.52379,1.15977,0.71754,0.00626,0.000497345,0.000497345,0.000497345
9,998.46,1.15052,0.78317,0.00348,0.74775,0.72122,0.76033,0.50796,1.17591,0.70392,0.0063,0.000496534,0.000496534,0.000496534
10,1108.4,1.15746,0.75045,0.00358,0.77864,0.74012,0.78225,0.52719,1.15584,0.71621,0.00615,0.000495616,0.000495616,0.000495616
11,1217.03,1.13648,0.74112,0.00346,0.69742,0.74696,0.78573,0.53681,1.16832,0.69293,0.00613,0.000494592,0.000494592,0.000494592
12,1324.56,1.13304,0.73279,0.00345,0.72166,0.72303,0.76336,0.51657,1.17422,0.71304,0.00611,0.000493461,0.000493461,0.000493461
13,1431.91,1.12491,0.71865,0.00346,0.7758,0.77522,0.79522,0.53947,1.18909,0.66438,0.00635,0.000492224,0.000492224,0.000492224
14,1538.76,1.11122,0.66399,0.00335,0.76337,0.76441,0.76988,0.52169,1.15965,0.72528,0.00609,0.000490883,0.000490883,0.000490883
15,1645.44,1.10037,0.65632,0.00338,0.70974,0.7449,0.7605,0.51351,1.16822,0.71316,0.00618,0.000489437,0.000489437,0.000489437
16,1752.79,1.10896,0.65917,0.00338,0.76681,0.7422,0.76598,0.5327,1.15917,0.69388,0.0061,0.000487886,0.000487886,0.000487886
17,1860.04,1.10486,0.63434,0.00329,0.74766,0.79077,0.79884,0.5375,1.16602,0.68596,0.00617,0.000486233,0.000486233,0.000486233
18,1967.02,1.10058,0.64544,0.00329,0.80306,0.72053,0.78888,0.54567,1.14445,0.65314,0.00603,0.000484477,0.000484477,0.000484477
19,2072.69,1.08949,0.63601,0.00328,0.76608,0.78046,0.78474,0.54302,1.15347,0.71573,0.00609,0.00048262,0.00048262,0.00048262
20,2179.86,1.05383,0.60083,0.00317,0.73643,0.76745,0.77424,0.53338,1.16158,0.65628,0.00618,0.000480661,0.000480661,0.000480661
21,2286.7,1.07245,0.61685,0.00316,0.78432,0.72481,0.79016,0.53396,1.17165,0.70311,0.00612,0.000478603,0.000478603,0.000478603
22,2392.93,1.05595,0.59114,0.00318,0.77946,0.75397,0.78486,0.52508,1.18523,0.71442,0.00625,0.000476445,0.000476445,0.000476445
23,2498.85,1.0497,0.56845,0.00307,0.7655,0.7575,0.79673,0.52997,1.19457,0.73645,0.00632,0.000474189,0.000474189,0.000474189
24,2605.95,1.05702,0.56519,0.00321,0.73185,0.77597,0.78125,0.51757,1.21276,0.69412,0.00632,0.000471835,0.000471835,0.000471835
25,2714.46,1.04416,0.53565,0.00314,0.80515,0.76303,0.7956,0.54155,1.16598,0.7146,0.00619,0.000469386,0.000469386,0.000469386
26,2820.86,1.04338,0.53968,0.00317,0.75641,0.78491,0.78658,0.53789,1.16113,0.70385,0.00617,0.000466841,0.000466841,0.000466841
27,2928.37,1.03813,0.55758,0.00314,0.76762,0.74843,0.77129,0.52531,1.18785,0.80131,0.00631,0.000464203,0.000464203,0.000464203
28,3036.33,1.02331,0.54204,0.00309,0.78587,0.75072,0.77617,0.51597,1.18859,0.72211,0.00643,0.000461471,0.000461471,0.000461471
29,3144.19,1.03879,0.53352,0.00308,0.75871,0.78138,0.79988,0.54034,1.17177,0.74016,0.00623,0.000458648,0.000458648,0.000458648
30,3250.19,1.01322,0.50448,0.003,0.74674,0.77392,0.77877,0.54191,1.16844,0.72641,0.00631,0.000455734,0.000455734,0.000455734
31,3357.2,1.01115,0.52564,0.00301,0.73397,0.7946,0.79783,0.54327,1.17496,0.7239,0.00626,0.000452732,0.000452732,0.000452732
32,3464.29,0.98996,0.50333,0.00297,0.72635,0.79035,0.78214,0.53935,1.15809,0.7892,0.00628,0.000449641,0.000449641,0.000449641
33,3569.83,0.98995,0.50039,0.00292,0.81214,0.75765,0.80965,0.55217,1.18213,0.73028,0.00631,0.000446464,0.000446464,0.000446464
34,3676.27,0.99197,0.50059,0.00293,0.82517,0.76725,0.81142,0.54953,1.18088,0.70354,0.00637,0.000443202,0.000443202,0.000443202
35,3787.47,0.99924,0.5056,0.00297,0.79923,0.73556,0.79023,0.53882,1.17338,0.75276,0.00627,0.000439856,0.000439856,0.000439856
36,3896.46,0.97388,0.47924,0.00286,0.80824,0.74461,0.79136,0.53741,1.1849,0.72452,0.00632,0.000436428,0.000436428,0.000436428
37,4004.93,0.97337,0.48856,0.00287,0.80788,0.73974,0.79142,0.54456,1.18479,0.72411,0.00633,0.00043292,0.00043292,0.00043292
38,4110.84,0.95825,0.46314,0.00281,0.80322,0.77461,0.81731,0.54588,1.19696,0.78687,0.00646,0.000429332,0.000429332,0.000429332
39,4216.01,0.95989,0.45998,0.00285,0.85338,0.72867,0.82189,0.54635,1.18494,0.71054,0.00627,0.000425667,0.000425667,0.000425667
40,4320.45,0.96497,0.47244,0.00283,0.75638,0.80072,0.78724,0.52484,1.20784,0.77173,0.00638,0.000421925,0.000421925,0.000421925
41,4426.82,0.94572,0.45761,0.0029,0.80057,0.75857,0.80045,0.53377,1.19006,0.77559,0.00625,0.00041811,0.00041811,0.00041811
42,4531.31,0.94997,0.44808,0.00281,0.77585,0.74514,0.78414,0.54148,1.18398,0.81836,0.00634,0.000414222,0.000414222,0.000414222
43,4635.93,0.94081,0.44325,0.00273,0.79986,0.78232,0.79186,0.53819,1.21271,0.75472,0.00656,0.000410262,0.000410262,0.000410262
44,4741.73,0.92948,0.45235,0.00272,0.78382,0.77125,0.805,0.54013,1.18818,0.70428,0.00633,0.000406234,0.000406234,0.000406234
