epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8381,1.52821,3.05704,0.00479,0.67733,0.17658,0.17851,0.09689,1.46444,2.14244,0.00873,0.000330864,0.000330864,0.0672444
2,61.5054,1.38531,2.04205,0.0043,0.39005,0.32282,0.33572,0.19767,1.3969,1.90028,0.00753,0.000664125,0.000664125,0.0342444
3,83.7494,1.34429,1.73604,0.00417,0.6331,0.40498,0.42212,0.28025,1.25424,1.32296,0.00677,0.000997098,0.000997098,0.00124401
4,107.078,1.32574,1.56157,0.00407,0.68082,0.45239,0.47975,0.30187,1.32743,1.24483,0.00734,0.000999023,0.000999023,0.000999023
5,128.753,1.32971,1.42867,0.00405,0.48282,0.57332,0.52859,0.33987,1.2622,1.09256,0.00689,0.000998264,0.000998264,0.000998264
6,150.578,1.28525,1.34946,0.00393,0.54329,0.55164,0.55096,0.35433,1.24025,1.07052,0.00656,0.000997288,0.000997288,0.000997288
7,172.577,1.29909,1.26445,0.00376,0.50672,0.57633,0.56422,0.36332,1.24311,1.09647,0.00682,0.000996097,0.000996097,0.000996097
8,194.561,1.27378,1.20661,0.00386,0.55472,0.55701,0.56886,0.36738,1.24927,1.03902,0.00676,0.00099469,0.00099469,0.00099469
9,215.982,1.27124,1.15799,0.00381,0.5476,0.53075,0.57643,0.37729,1.25123,0.98198,0.00671,0.000993068,0.000993068,0.000993068
10,237.956,1.25535,1.10747,0.00378,0.60046,0.60636,0.60109,0.40205,1.20395,0.94795,0.00646,0.000991232,0.000991232,0.000991232
11,260.103,1.25157,1.10445,0.00379,0.54732,0.62632,0.60743,0.40458,1.26985,0.93234,0.00665,0.000989183,0.000989183,0.000989183
12,281.787,1.2497,1.0516,0.00383,0.55954,0.62351,0.60099,0.39358,1.24057,0.93234,0.0067,0.000986922,0.000986922,0.000986922
13,303.835,1.23253,1.02482,0.00372,0.59571,0.6308,0.60441,0.40155,1.22869,1.04201,0.00658,0.000984449,0.000984449,0.000984449
14,326.463,1.23212,1.02506,0.00362,0.57859,0.65134,0.62476,0.40392,1.2354,0.9489,0.00677,0.000981765,0.000981765,0.000981765
15,350.629,1.23558,0.99167,0.00368,0.59502,0.70115,0.64516,0.43412,1.2189,0.88945,0.00652,0.000978873,0.000978873,0.000978873
16,374.454,1.22322,0.99137,0.00372,0.66489,0.60761,0.65655,0.43371,1.23509,0.95355,0.00666,0.000975773,0.000975773,0.000975773
17,398.105,1.22061,0.97689,0.00361,0.62525,0.72096,0.68102,0.45035,1.20662,0.9144,0.0065,0.000972466,0.000972466,0.000972466
