fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.55082,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,10
0.55753,0.00403,0.01,0.98,0.0,3.01264,0.95,7.49914,0.56751,1.37736,0.01119,0.89662,0.37658,0.0,0.09243,0.49984,0.0,0.001,0.0,0.50212,0.00514,1.0,0.0055,0.0,0.0,10
0.5368,0.00603,0.01,0.94205,0.0,3.05822,0.93235,8.09767,0.62486,1.65193,0.02067,0.89727,0.3973,0.0,0.08189,0.5031,0.0006,0.001,0.0,0.50325,0.00255,1.0,0.00405,0.00952,0.00765,10
0.54779,0.00422,0.02362,0.93904,0.00024,3.01243,0.95,7.50016,0.57107,1.39233,0.01306,0.72909,0.38363,0.00261,0.08821,0.69954,0.0,0.0001,0.0,0.5257,0.00325,0.76406,0.00619,0.00228,0.01666,10
0.52409,0.00457,0.01785,0.94243,0.00031,3.26867,0.8282,6.02771,0.66232,1.63244,0.01165,0.84441,0.39166,0.00109,0.10011,0.6017,0.00027,0.0,0.00662,0.34736,0.00131,0.84571,0.00288,0.00089,0.00763,10
0.54051,0.00509,0.01992,0.96458,0.00017,3.06735,0.94284,5.70943,0.77812,1.5087,0.01122,0.9,0.24198,0.00243,0.08216,0.65531,0.00046,0.00077,0.0,0.38105,0.00287,1.0,0.006,0.00026,0.01287,10
0.53481,0.00956,0.01917,0.971,0.00026,2.72351,0.78941,6.63713,0.53478,1.18546,0.01141,0.6835,0.40449,0.00227,0.09676,0.72127,0.01699,0.00062,0.00498,0.50833,0.00401,0.67285,0.0,0.00042,0.0,9
0.54116,0.00593,0.01,0.96386,0.00046,3.84233,0.828,7.15304,0.76535,1.17726,0.01799,0.64581,0.37715,0.0,0.08548,0.70878,0.00099,0.00095,0.00083,0.5452,0.0044,1.0,0.00732,0.0,0.01124,10
0.52228,0.00858,0.01,0.98,0.00065,2.43482,0.8548,7.53978,0.71206,1.51744,0.01116,0.68726,0.36344,0.0015,0.09009,0.48511,0.00017,0.0,0.0,0.45826,0.00062,0.99324,0.00426,0.00236,0.00284,10
0.53342,0.00466,0.01357,0.83103,0.00031,2.76195,0.90268,6.76308,0.526,1.79072,0.01815,0.73584,0.30908,0.00235,0.09214,0.4736,0.00399,0.00072,0.00523,0.39942,0.0,0.643,0.00589,0.00593,0.0,10
