epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2529,1.54534,3.23277,0.0049,0.50414,0.1758,0.16421,0.09263,1.38628,2.31751,0.00762,0.000330864,0.000330864,0.0672444
2,78.1916,1.41212,2.16499,0.0044,0.72243,0.32375,0.31459,0.19048,1.39383,1.73634,0.00724,0.000664125,0.000664125,0.0342444
3,111.071,1.36395,1.82366,0.00425,0.59349,0.46115,0.3901,0.24625,1.28818,1.44605,0.00713,0.000997098,0.000997098,0.00124401
4,144.215,1.33459,1.63378,0.00407,0.56972,0.48099,0.46633,0.29206,1.27744,1.24666,0.00694,0.000999023,0.000999023,0.000999023
5,177.804,1.31246,1.47158,0.00399,0.49045,0.45786,0.46711,0.29052,1.26133,1.2367,0.00688,0.000998264,0.000998264,0.000998264
6,202.527,1.30155,1.41556,0.00398,0.51203,0.51127,0.50961,0.32461,1.23738,1.13995,0.00676,0.000997288,0.000997288,0.000997288
7,223.149,1.30463,1.31793,0.00376,0.47648,0.52939,0.515,0.33343,1.23954,1.08297,0.00676,0.000996097,0.000996097,0.000996097
8,243.581,1.28024,1.23916,0.00386,0.48013,0.55803,0.55283,0.35382,1.23728,1.03289,0.00668,0.00099469,0.00099469,0.00099469
9,264.151,1.27474,1.22062,0.00382,0.51592,0.53406,0.5336,0.34347,1.22111,1.04747,0.00659,0.000993068,0.000993068,0.000993068
10,283.482,1.26273,1.16182,0.00382,0.53105,0.55399,0.53919,0.34209,1.22579,1.05307,0.00666,0.000991232,0.000991232,0.000991232
11,303.587,1.25986,1.1576,0.00381,0.45804,0.58453,0.55629,0.36306,1.23736,0.99213,0.00677,0.000989183,0.000989183,0.000989183
12,323.207,1.26251,1.12855,0.00387,0.51594,0.57312,0.56812,0.3691,1.21465,0.96503,0.00649,0.000986922,0.000986922,0.000986922
13,343.735,1.23054,1.0899,0.0037,0.5372,0.59281,0.59124,0.38658,1.21551,0.95823,0.00654,0.000984449,0.000984449,0.000984449
14,364.266,1.24986,1.11011,0.00369,0.5133,0.62321,0.57168,0.37362,1.22731,0.91619,0.0066,0.000981765,0.000981765,0.000981765
15,384.204,1.23601,1.05212,0.0037,0.56574,0.563,0.58915,0.38611,1.24431,0.91466,0.0067,0.000978873,0.000978873,0.000978873
16,404.101,1.22598,1.05439,0.00373,0.5552,0.616,0.60091,0.39466,1.21342,0.94305,0.0065,0.000975773,0.000975773,0.000975773
17,424.198,1.22207,1.0595,0.00361,0.51134,0.57831,0.58304,0.38844,1.21756,1.04111,0.00654,0.000972466,0.000972466,0.000972466
18,444.823,1.22646,1.04232,0.00363,0.58003,0.58217,0.60264,0.40015,1.20164,0.8996,0.00645,0.000968955,0.000968955,0.000968955
19,465.135,1.21831,1.02554,0.0036,0.57883,0.64951,0.62105,0.4125,1.22025,0.91837,0.00667,0.000965239,0.000965239,0.000965239
20,484.719,1.21976,1.0011,0.00363,0.60838,0.56506,0.60429,0.39572,1.22685,0.92626,0.00662,0.000961322,0.000961322,0.000961322
21,504.426,1.19802,0.97805,0.00347,0.58288,0.63916,0.62774,0.40399,1.22586,0.89615,0.00663,0.000957205,0.000957205,0.000957205
22,523.846,1.20328,0.96645,0.00355,0.63714,0.58035,0.62877,0.40617,1.23443,0.90459,0.00657,0.000952889,0.000952889,0.000952889
23,553.627,1.19512,0.93442,0.00349,0.52529,0.6524,0.61626,0.4079,1.21327,0.94226,0.00647,0.000948377,0.000948377,0.000948377
24,583.308,1.19974,0.933,0.00364,0.59244,0.61899,0.62823,0.41233,1.21665,0.89546,0.00652,0.000943671,0.000943671,0.000943671
25,612.938,1.19788,0.92182,0.00356,0.62202,0.68172,0.65426,0.42503,1.21763,0.86933,0.00651,0.000938772,0.000938772,0.000938772
26,641.667,1.18568,0.92638,0.00355,0.57488,0.6523,0.64718,0.42796,1.19448,0.98125,0.00646,0.000933683,0.000933683,0.000933683
27,670.93,1.19025,0.91005,0.00355,0.64537,0.56829,0.62576,0.4056,1.20856,0.88914,0.0065,0.000928405,0.000928405,0.000928405
28,700.496,1.19898,0.90896,0.00351,0.64565,0.60082,0.64494,0.42503,1.21827,0.86673,0.0066,0.000922942,0.000922942,0.000922942
29,730.277,1.17974,0.87883,0.00341,0.70037,0.61922,0.681,0.43959,1.22126,0.87886,0.00659,0.000917296,0.000917296,0.000917296
30,759.709,1.17696,0.87534,0.00346,0.60805,0.64017,0.65203,0.43099,1.22773,0.84301,0.00665,0.000911469,0.000911469,0.000911469
31,790.093,1.17915,0.86493,0.00349,0.63662,0.6597,0.66084,0.4355,1.21248,0.87719,0.00644,0.000905463,0.000905463,0.000905463
32,819.596,1.16948,0.85818,0.00343,0.55513,0.69074,0.63893,0.41657,1.21593,0.86496,0.00649,0.000899282,0.000899282,0.000899282
33,848.459,1.15703,0.84173,0.00341,0.56692,0.70823,0.65451,0.43025,1.22943,0.85884,0.0066,0.000892928,0.000892928,0.000892928
34,877.036,1.17712,0.85087,0.00344,0.61673,0.71942,0.67563,0.4476,1.22675,0.88544,0.00654,0.000886404,0.000886404,0.000886404
35,905.571,1.17326,0.83923,0.00349,0.65305,0.67906,0.67117,0.44223,1.22292,0.84871,0.00657,0.000879713,0.000879713,0.000879713
36,936.846,1.16977,0.83707,0.00335,0.58668,0.64828,0.64718,0.43,1.24619,0.88056,0.00667,0.000872857,0.000872857,0.000872857
37,965.989,1.15287,0.80922,0.00337,0.62852,0.67337,0.69128,0.45376,1.22833,0.85783,0.00656,0.000865839,0.000865839,0.000865839
38,996.93,1.15023,0.80696,0.00335,0.6215,0.68895,0.6664,0.43061,1.23788,0.86524,0.00674,0.000858664,0.000858664,0.000858664
39,1025.76,1.14587,0.78552,0.00341,0.6654,0.61538,0.66297,0.44146,1.21833,0.83695,0.00658,0.000851333,0.000851333,0.000851333
40,1055.12,1.15421,0.80624,0.00334,0.6122,0.66669,0.66469,0.43705,1.22601,0.83513,0.0067,0.000843851,0.000843851,0.000843851
41,1085.98,1.15543,0.7707,0.00338,0.60087,0.66227,0.6361,0.41857,1.22241,0.85282,0.00657,0.00083622,0.00083622,0.00083622
42,1117.24,1.14986,0.75687,0.00336,0.60715,0.66656,0.65616,0.44214,1.20374,0.80829,0.00641,0.000828443,0.000828443,0.000828443
43,1147.99,1.15276,0.7812,0.00336,0.63545,0.63274,0.65806,0.43994,1.21347,0.83485,0.00654,0.000820525,0.000820525,0.000820525
44,1176.97,1.13375,0.76087,0.00327,0.58792,0.67794,0.65254,0.43785,1.24781,0.82657,0.0066,0.000812468,0.000812468,0.000812468
45,1205.22,1.13866,0.74317,0.00335,0.57907,0.70855,0.65913,0.4385,1.22626,0.81796,0.0066,0.000804277,0.000804277,0.000804277
46,1234.65,1.13739,0.74009,0.00333,0.62196,0.70204,0.66981,0.45939,1.2301,0.80731,0.00664,0.000795954,0.000795954,0.000795954
47,1265.59,1.12692,0.7405,0.00326,0.63548,0.62749,0.66115,0.43914,1.22585,0.84798,0.00651,0.000787503,0.000787503,0.000787503
48,1294.57,1.14961,0.7582,0.00335,0.61746,0.66379,0.65672,0.44401,1.22581,0.81331,0.00659,0.000778929,0.000778929,0.000778929
49,1323.52,1.13824,0.73701,0.00327,0.60103,0.70513,0.67055,0.44994,1.23364,0.83679,0.00666,0.000770234,0.000770234,0.000770234
