epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0723,1.50087,3.03322,0.00471,0.67768,0.18902,0.19059,0.10418,1.5211,2.1615,0.00916,0.000330864,0.000330864,0.0672444
2,77.0304,1.36983,2.01174,0.00423,0.5798,0.39277,0.34464,0.21422,1.29417,1.69507,0.00703,0.000664125,0.000664125,0.0342444
3,109.967,1.33851,1.7266,0.00415,0.62637,0.45554,0.42746,0.27741,1.26052,1.38255,0.00673,0.000997098,0.000997098,0.00124401
4,140.978,1.32024,1.56207,0.00402,0.68262,0.45596,0.47742,0.30909,1.26234,1.20512,0.00693,0.000999023,0.000999023,0.000999023
5,171.85,1.30407,1.40406,0.00395,0.63299,0.50361,0.53055,0.32811,1.27269,1.12644,0.00704,0.000998264,0.000998264,0.000998264
6,202.233,1.28693,1.33006,0.00394,0.54353,0.54616,0.55706,0.35913,1.20204,1.06387,0.00644,0.000997288,0.000997288,0.000997288
7,233.371,1.30246,1.25955,0.00374,0.54252,0.58843,0.57442,0.37143,1.22929,1.0395,0.00667,0.000996097,0.000996097,0.000996097
8,264.516,1.26408,1.19199,0.0038,0.58485,0.58063,0.58871,0.3837,1.24187,1.02373,0.00684,0.00099469,0.00099469,0.00099469
9,296.815,1.26351,1.16078,0.00377,0.51827,0.61801,0.58618,0.38401,1.24538,1.02866,0.00675,0.000993068,0.000993068,0.000993068
10,327.716,1.25504,1.10848,0.00378,0.60603,0.58035,0.60299,0.39377,1.23177,1.00337,0.00669,0.000991232,0.000991232,0.000991232
11,358.592,1.24827,1.10428,0.00377,0.50558,0.65637,0.60739,0.40147,1.23904,0.90109,0.00674,0.000989183,0.000989183,0.000989183
12,389.393,1.25232,1.05968,0.00384,0.53628,0.64337,0.59932,0.39276,1.21891,0.94128,0.00658,0.000986922,0.000986922,0.000986922
13,421.035,1.23148,1.02314,0.0037,0.595,0.62881,0.62411,0.42124,1.20685,0.94755,0.00657,0.000984449,0.000984449,0.000984449
14,442.991,1.23767,1.03023,0.00364,0.49629,0.66085,0.59408,0.38263,1.2761,0.96113,0.00676,0.000981765,0.000981765,0.000981765
15,465.664,1.24364,0.99267,0.00371,0.55864,0.65232,0.61981,0.40732,1.25827,0.90874,0.00691,0.000978873,0.000978873,0.000978873
16,487.819,1.22383,0.99504,0.00372,0.61824,0.59465,0.64319,0.43641,1.22229,0.89833,0.00661,0.000975773,0.000975773,0.000975773
17,510.277,1.21684,0.99103,0.00358,0.63154,0.68156,0.66077,0.4418,1.23583,0.88105,0.00664,0.000972466,0.000972466,0.000972466
18,533.205,1.21639,0.98263,0.0036,0.61575,0.59807,0.64172,0.42037,1.2479,0.86384,0.00669,0.000968955,0.000968955,0.000968955
19,556.279,1.19684,0.94661,0.00352,0.66035,0.61885,0.66062,0.43628,1.20043,0.87238,0.00644,0.000965239,0.000965239,0.000965239
20,577.848,1.21288,0.93243,0.0036,0.67058,0.60672,0.6627,0.43999,1.2573,0.84026,0.00671,0.000961322,0.000961322,0.000961322
21,601.244,1.1893,0.90735,0.00344,0.5866,0.69675,0.62742,0.4194,1.23801,0.89047,0.00666,0.000957205,0.000957205,0.000957205
22,624.604,1.20173,0.88782,0.00354,0.56576,0.6961,0.64098,0.4191,1.24467,0.86406,0.00659,0.000952889,0.000952889,0.000952889
23,647.262,1.18698,0.86373,0.00345,0.58869,0.67687,0.65405,0.44589,1.21835,0.85967,0.00648,0.000948377,0.000948377,0.000948377
24,669.819,1.17785,0.84599,0.00354,0.62883,0.68225,0.66874,0.4369,1.23673,0.81629,0.00669,0.000943671,0.000943671,0.000943671
25,692.547,1.17691,0.84489,0.00347,0.56946,0.66061,0.65925,0.44309,1.20143,0.86108,0.00648,0.000938772,0.000938772,0.000938772
26,715.555,1.18274,0.86234,0.00352,0.638,0.68036,0.67997,0.45251,1.22832,0.82603,0.00663,0.000933683,0.000933683,0.000933683
27,739.057,1.16031,0.81496,0.00345,0.6662,0.61725,0.67179,0.42462,1.24279,0.83159,0.0066,0.000928405,0.000928405,0.000928405
28,761.727,1.20134,0.84468,0.00352,0.65878,0.64728,0.67818,0.4575,1.20425,0.85607,0.00656,0.000922942,0.000922942,0.000922942
29,784.716,1.18393,0.82699,0.00344,0.58422,0.67354,0.66827,0.44019,1.26234,0.84213,0.00676,0.000917296,0.000917296,0.000917296
30,807.746,1.16182,0.81207,0.00343,0.62945,0.68178,0.67908,0.44338,1.23719,0.84774,0.00666,0.000911469,0.000911469,0.000911469
31,830.226,1.16271,0.78852,0.00345,0.67352,0.70263,0.69435,0.44423,1.25533,0.81719,0.00679,0.000905463,0.000905463,0.000905463
32,852.42,1.15337,0.77439,0.00339,0.62338,0.67909,0.68542,0.45475,1.21817,0.80956,0.00657,0.000899282,0.000899282,0.000899282
33,875.162,1.14197,0.75888,0.00335,0.65775,0.68248,0.70105,0.47314,1.20881,0.80382,0.00649,0.000892928,0.000892928,0.000892928
34,897.659,1.15567,0.76544,0.00338,0.6303,0.71079,0.69614,0.45046,1.22864,0.801,0.00664,0.000886404,0.000886404,0.000886404
35,919.438,1.15082,0.74899,0.00341,0.69712,0.68392,0.70504,0.45449,1.2168,0.83026,0.00654,0.000879713,0.000879713,0.000879713
36,942.666,1.15151,0.76358,0.00328,0.67775,0.63534,0.67685,0.4529,1.20639,0.80501,0.00643,0.000872857,0.000872857,0.000872857
37,971.647,1.12997,0.72989,0.00328,0.75684,0.64382,0.70853,0.46737,1.22749,0.78845,0.00662,0.000865839,0.000865839,0.000865839
38,1003.86,1.12986,0.73655,0.00327,0.6135,0.72013,0.68021,0.4421,1.23499,0.85471,0.00661,0.000858664,0.000858664,0.000858664
39,1035.85,1.12796,0.73469,0.00335,0.65373,0.66038,0.6746,0.44167,1.23082,0.81408,0.00665,0.000851333,0.000851333,0.000851333
40,1067.25,1.13024,0.74978,0.00326,0.66018,0.67474,0.69114,0.44943,1.22407,0.84227,0.00661,0.000843851,0.000843851,0.000843851
41,1098.74,1.12044,0.70643,0.00326,0.65988,0.66228,0.68526,0.45153,1.21588,0.83913,0.00662,0.00083622,0.00083622,0.00083622
42,1131.29,1.12629,0.68962,0.00328,0.648,0.6947,0.71044,0.45628,1.25806,0.80356,0.00672,0.000828443,0.000828443,0.000828443
43,1165.76,1.13385,0.70649,0.0033,0.59995,0.71446,0.67893,0.447,1.23531,0.80846,0.00656,0.000820525,0.000820525,0.000820525
44,1198.3,1.11305,0.68133,0.00319,0.65081,0.71044,0.70666,0.46087,1.23213,0.7998,0.00657,0.000812468,0.000812468,0.000812468
45,1231.63,1.11057,0.66569,0.00324,0.62611,0.72115,0.68808,0.46011,1.2442,0.79437,0.00664,0.000804277,0.000804277,0.000804277
46,1265.22,1.0992,0.68247,0.00319,0.65714,0.68167,0.71268,0.47138,1.22573,0.8001,0.00658,0.000795954,0.000795954,0.000795954
47,1297.66,1.10497,0.68327,0.00319,0.68087,0.6759,0.70542,0.47197,1.2268,0.83026,0.00663,0.000787503,0.000787503,0.000787503
48,1329.36,1.1048,0.66894,0.0032,0.63381,0.71243,0.70797,0.45942,1.2409,0.82335,0.00671,0.000778929,0.000778929,0.000778929
49,1362.6,1.09173,0.66195,0.00309,0.73703,0.64039,0.71777,0.4752,1.22746,0.83363,0.00655,0.000770234,0.000770234,0.000770234
50,1395.53,1.08917,0.64182,0.00318,0.64979,0.72985,0.70855,0.47827,1.22004,0.82397,0.0066,0.000761423,0.000761423,0.000761423
51,1424.03,1.08986,0.6459,0.00309,0.68098,0.69008,0.70107,0.46681,1.24803,0.84981,0.0067,0.0007525,0.0007525,0.0007525
52,1455.43,1.07931,0.6339,0.0031,0.69501,0.67778,0.69679,0.45946,1.25568,0.84227,0.00674,0.000743468,0.000743468,0.000743468
53,1487.07,1.08811,0.64176,0.00311,0.6786,0.72434,0.7116,0.46251,1.24766,0.85451,0.00667,0.000734332,0.000734332,0.000734332
54,1518.33,1.07077,0.63372,0.00309,0.71547,0.68825,0.70479,0.4591,1.22543,0.85079,0.00655,0.000725094,0.000725094,0.000725094
55,1549.72,1.07322,0.62887,0.00309,0.69222,0.66849,0.69927,0.45869,1.22295,0.81707,0.00652,0.000715761,0.000715761,0.000715761
56,1582.72,1.07913,0.6258,0.00309,0.69054,0.71851,0.7236,0.46769,1.24096,0.84525,0.00657,0.000706335,0.000706335,0.000706335
57,1615.8,1.06277,0.61465,0.00303,0.68134,0.71199,0.70889,0.45347,1.23555,0.84622,0.00667,0.00069682,0.00069682,0.00069682
58,1647.83,1.06315,0.61335,0.00302,0.67036,0.68494,0.70224,0.46465,1.23971,0.83113,0.0067,0.000687222,0.000687222,0.000687222
59,1679.66,1.05121,0.60134,0.00302,0.69924,0.67338,0.70413,0.46972,1.23334,0.8761,0.00667,0.000677543,0.000677543,0.000677543
60,1712.05,1.05267,0.59886,0.00299,0.69898,0.65604,0.68932,0.44526,1.24314,0.89686,0.00666,0.000667789,0.000667789,0.000667789
61,1744.65,1.03996,0.5933,0.00298,0.6946,0.6856,0.70135,0.45638,1.24332,0.83514,0.00668,0.000657963,0.000657963,0.000657963
62,1778.72,1.02945,0.58345,0.00298,0.67707,0.73086,0.71514,0.46934,1.22685,0.88174,0.00656,0.000648071,0.000648071,0.000648071
63,1813.28,1.02813,0.59505,0.00293,0.68733,0.70713,0.70281,0.46106,1.22378,0.84924,0.00654,0.000638115,0.000638115,0.000638115
