epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8858,1.64259,4.07307,0.00518,0.64459,0.13163,0.11329,0.06378,1.24869,2.89598,0.00653,0.000410539,0.000410539,0.000410539
2,74.0747,1.37465,2.59517,0.0042,0.61411,0.30518,0.33584,0.20907,1.23378,2.00057,0.00661,0.000819017,0.000819017,0.000819017
3,92.4429,1.37598,2.15164,0.00418,0.6382,0.45199,0.44037,0.27854,1.27617,1.39355,0.00678,0.00121924,0.00121924,0.00121924
4,112.066,1.34269,1.87587,0.00406,0.67934,0.4619,0.47592,0.30269,1.3302,1.2544,0.00705,0.00121287,0.00121287,0.00121287
5,129.453,1.33393,1.61757,0.00402,0.66528,0.48265,0.54564,0.34699,1.33933,1.11668,0.00662,0.0012005,0.0012005,0.0012005
6,149.462,1.32014,1.4883,0.00395,0.65248,0.51551,0.56309,0.35853,1.24049,1.19281,0.00646,0.00118812,0.00118812,0.00118812
7,167.037,1.30697,1.37695,0.00376,0.72228,0.52783,0.55947,0.35943,1.25883,1.02579,0.00657,0.00117575,0.00117575,0.00117575
8,189.479,1.2807,1.25917,0.00379,0.52143,0.60225,0.57807,0.36806,1.28264,1.05032,0.00665,0.00116337,0.00116337,0.00116337
9,215.951,1.30344,1.19003,0.00389,0.58841,0.5375,0.61023,0.4008,1.21876,0.96085,0.00629,0.001151,0.001151,0.001151
10,242.748,1.27405,1.1624,0.00385,0.64745,0.58618,0.63346,0.41919,1.25171,1.03538,0.00637,0.00113863,0.00113863,0.00113863
11,271.206,1.2666,1.1546,0.0038,0.53427,0.69327,0.66679,0.43326,1.22746,0.89743,0.00635,0.00112625,0.00112625,0.00112625
12,295.783,1.27342,1.07932,0.00376,0.61807,0.58027,0.62616,0.3987,1.293,0.9796,0.00661,0.00111388,0.00111388,0.00111388
13,323.538,1.271,1.04889,0.00382,0.64844,0.58808,0.65898,0.41749,1.28216,0.90081,0.00643,0.0011015,0.0011015,0.0011015
14,347.456,1.25791,0.99297,0.00367,0.66692,0.59768,0.66021,0.42185,1.22333,0.86606,0.00625,0.00108913,0.00108913,0.00108913
15,370.855,1.24942,0.96851,0.00369,0.67367,0.64277,0.66774,0.43405,1.23426,0.8712,0.00648,0.00107675,0.00107675,0.00107675
16,394.301,1.26149,0.95858,0.00371,0.59717,0.70738,0.67157,0.43237,1.2569,0.88356,0.00642,0.00106437,0.00106437,0.00106437
17,418.249,1.22618,0.92578,0.00359,0.66894,0.6445,0.66775,0.43303,1.21504,0.83685,0.00623,0.001052,0.001052,0.001052
18,441.923,1.23605,0.9083,0.00367,0.66901,0.65338,0.69634,0.44674,1.2409,0.81896,0.00638,0.00103962,0.00103962,0.00103962
19,465.897,1.23099,0.90556,0.00363,0.69906,0.695,0.7081,0.45189,1.26126,0.85981,0.00657,0.00102725,0.00102725,0.00102725
20,489.696,1.23196,0.88677,0.00362,0.70779,0.67532,0.71031,0.46375,1.26035,0.81653,0.00639,0.00101488,0.00101488,0.00101488
21,512.561,1.23332,0.87971,0.00359,0.65156,0.69674,0.68218,0.44124,1.25365,0.83618,0.00649,0.0010025,0.0010025,0.0010025
22,535.268,1.2225,0.86941,0.00355,0.65389,0.68212,0.71046,0.47259,1.20544,0.81416,0.00622,0.000990125,0.000990125,0.000990125
