epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.261,1.78803,3.52092,0.00588,0.7368,0.44406,0.5189,0.32559,1.47801,1.58929,0.00769,0.000404255,0.000404255,0.000404255
2,307.174,1.68784,1.70346,0.00542,0.50551,0.62506,0.556,0.33748,1.50589,1.41562,0.00802,0.000760117,0.000760117,0.000760117
3,459.089,1.70411,1.52448,0.00551,0.66889,0.47366,0.56551,0.3363,1.58622,1.84264,0.00788,0.00106191,0.00106191,0.00106191
4,623.432,1.63427,1.40626,0.00523,0.58199,0.64882,0.64796,0.39765,1.48266,1.14523,0.00775,0.0010025,0.0010025,0.0010025
5,780.853,1.60221,1.26664,0.00504,0.65677,0.69304,0.70255,0.425,1.4732,1.01724,0.00755,0.00092,0.00092,0.00092
6,913.446,1.4466,1.06817,0.00542,0.67614,0.66746,0.70055,0.39841,1.65623,1.07612,0.00852,0.0008375,0.0008375,0.0008375
7,1031.84,1.39517,0.98245,0.00517,0.67596,0.64001,0.68239,0.43716,1.44561,1.00613,0.00732,0.000755,0.000755,0.000755
8,1160.15,1.34524,0.93123,0.00514,0.67406,0.70974,0.73371,0.47025,1.39538,0.93286,0.00725,0.0006725,0.0006725,0.0006725
9,1316.01,1.32149,0.86479,0.0049,0.75829,0.69064,0.76198,0.49227,1.38588,0.87031,0.00717,0.00059,0.00059,0.00059
10,1438.32,1.29179,0.82497,0.00481,0.73638,0.6876,0.73529,0.47811,1.3356,0.89339,0.007,0.0005075,0.0005075,0.0005075
11,1561.79,1.28444,0.8308,0.0048,0.76012,0.72507,0.75986,0.50496,1.31783,0.86002,0.0069,0.000425,0.000425,0.000425
12,1700.82,1.2428,0.78241,0.00453,0.75996,0.72139,0.79506,0.50701,1.33955,0.97317,0.00686,0.0003425,0.0003425,0.0003425
13,1826.86,1.21247,0.74787,0.00441,0.81621,0.75598,0.79941,0.5368,1.29469,0.83504,0.0066,0.00026,0.00026,0.00026
14,1950.84,1.1888,0.704,0.00442,0.79324,0.71514,0.7888,0.53167,1.30494,0.81693,0.00664,0.0001775,0.0001775,0.0001775
15,2087.18,1.17647,0.66444,0.00429,0.79458,0.75933,0.79712,0.5354,1.25287,0.82872,0.00639,9.5e-05,9.5e-05,9.5e-05
